kind,n,seed,repeat,algo,ms,batch,compares,moves,buffer_bytes,stable_observed,record_bytes
random,1048576,20260923,1,heap,103.623000000,1,38705836,60105669,16,0,16
random,1048576,20260923,1,merge,89.109000000,1,19646022,41943040,16777216,1,16
random,1048576,20260923,2,merge,90.393000000,1,19646022,41943040,16777216,1,16
random,1048576,20260923,2,heap,118.126000000,1,38705836,60105669,16,0,16
random,1048576,20260924,0,heap,91.004000000,1,38706733,60108033,16,0,16
random,1048576,20260924,0,merge,90.334000000,1,19645940,41943040,16777216,1,16
random,1048576,20260924,1,merge,89.999000000,1,19645940,41943040,16777216,1,16
random,1048576,20260924,1,heap,88.146000000,1,38706733,60108033,16,0,16
random,1048576,20260924,2,heap,94.016000000,1,38706733,60108033,16,0,16
random,1048576,20260924,2,merge,88.669000000,1,19645940,41943040,16777216,1,16
