kind,n,seed,repeat,algo,ms,batch,compares,moves,buffer_bytes,stable_observed,record_bytes
nearly_sorted,256,20260924,1,merge,0.002893221,1667,1024,4096,4096,1,16
nearly_sorted,256,20260924,1,heap,0.004116707,1251,3448,5898,16,1,16
nearly_sorted,256,20260924,1,insertion,0.000177490,4096,259,6,16,1,16
nearly_sorted,256,20260924,2,heap,0.004036771,1251,3448,5898,16,1,16
nearly_sorted,256,20260924,2,insertion,0.000196045,4096,259,6,16,1,16
nearly_sorted,256,20260924,2,merge,0.002769646,1667,1024,4096,4096,1,16
nearly_sorted,256,20260924,3,insertion,0.000189209,4096,259,6,16,1,16
nearly_sorted,256,20260924,3,merge,0.002814637,1667,1024,4096,4096,1,16
nearly_sorted,256,20260924,3,heap,0.004182254,1251,3448,5898,16,1,16
nearly_sorted,256,20260924,4,merge,0.002899220,1667,1024,4096,4096,1,16
nearly_sorted,256,20260924,4,heap,0.004030376,1251,3448,5898,16,1,16
nearly_sorted,256,20260924,4,insertion,0.000186279,4096,259,6,16,1,16
random,512,20260922,0,merge,0.012923445,209,3950,9216,8192,1,16
random,512,20260922,0,heap,0.009441247,417,7663,12543,16,1,16
random,512,20260922,0,insertion,0.041035088,114,64710,64711,16,1,16
random,512,20260922,1,heap,0.009285372,417,7663,12543,16,1,16
random,512,20260922,1,insertion,0.041140351,114,64710,64711,16,1,16
random,512,20260922,1,merge,0.010832536,209,3950,9216,8192,1,16
random,512,20260922,2,insertion,0.041394737,114,64710,64711,16,1,16
random,512,20260922,2,merge,0.009928230,209,3950,9216,8192,1,16
random,512,20260922,2,heap,0.009633094,417,7663,12543,16,1,16
random,512,20260922,3,merge,0.010555024,209,3950,9216,8192,1,16
random,512,20260922,3,heap,0.009841727,417,7663,12543,16,1,16
random,512,20260922,3,insertion,0.043026316,114,64710,64711,16,1,16
random,512,20260922,4,heap,0.009527578,417,7663,12543,16,1,16
random,512,20260922,4,insertion,0.040543860,114,64710,64711,16,1,16
random,512,20260922,4,merge,0.013239234,209,3950,9216,8192,1,16
random,512,20260923,0,heap,0.008976623,385,7629,12471,16,1,16
random,512,20260923,0,insertion,0.043141667,120,66066,66065,16,1,16
random,512,20260923,0,merge,0.010765152,264,3978,9216,8192,1,16
random,512,20260923,1,insertion,0.042233333,120,66066,66065,16,1,16
random,512,20260923,1,merge,0.010723485,264,3978,9216,8192,1,16
random,512,20260923,1,heap,0.008732468,385,7629,12471,16,1,16
random,512,20260923,2,merge,0.010696970,264,3978,9216,8192,1,16
random,512,20260923,2,heap,0.008589610,385,7629,12471,16,1,16
random,512,20260923,2,insertion,0.042516667,120,66066,66065,16,1,16
random,512,20260923,3,heap,0.008831169,385,7629,12471,16,1,16
random,512,20260923,3,insertion,0.042600000,120,66066,66065,16,1,16
random,512,20260923,3,merge,0.009712121,264,3978,9216,8192,1,16
random,512,20260923,4,insertion,0.041941667,120,66066,66065,16,1,16
random,512,20260923,4,merge,0.009708333,264,3978,9216,8192,1,16
random,512,20260923,4,heap,0.009122078,385,7629,12471,16,1,16
random,512,20260924,0,insertion,0.042775000,120,67334,67336,16,1,16
random,512,20260924,0,merge,0.010662879,264,3977,9216,8192,1,16
random,512,20260924,0,heap,0.008950000,500,7602,12456,16,1,16
random,512,20260924,1,merge,0.010712121,264,3977,9216,8192,1,16
random,512,20260924,1,heap,0.008796000,500,7602,12456,16,1,16
random,512,20260924,1,insertion,0.042633333,120,67334,67336,16,1,16
random,512,20260924,2,heap,0.009028000,500,7602,12456,16,1,16
random,512,20260924,2,insertion,0.043958333,120,67334,67336,16,1,16
random,512,20260924,2,merge,0.010973485,264,3977,9216,8192,1,16
random,512,20260924,3,insertion,0.042075000,120,67334,67336,16,1,16
random,512,20260924,3,merge,0.010098485,264,3977,9216,8192,1,16
random,512,20260924,3,heap,0.009086000,500,7602,12456,16,1,16
random,512,20260924,4,merge,0.009803030,264,3977,9216,8192,1,16
random,512,20260924,4,heap,0.008678000,500,7602,12456,16,1,16
random,512,20260924,4,insertion,0.042491667,120,67334,67336,16,1,16
sorted,512,20260922,0,merge,0.006062937,715,2304,9216,8192,1,16
sorted,512,20260922,0,heap,0.008588129,556,7958,13392,16,1,16
sorted,512,20260922,0,insertion,0.000807861,4096,511,0,16,1,16
sorted,512,20260922,1,heap,0.008719424,556,7958,13392,16,1,16
sorted,512,20260922,1,insertion,0.000321777,4096,511,0,16,1,16
sorted,512,20260922,1,merge,0.005879720,715,2304,9216,8192,1,16
sorted,512,20260922,2,insertion,0.000323242,4096,511,0,16,1,16
sorted,512,20260922,2,merge,0.005876923,715,2304,9216,8192,1,16
sorted,512,20260922,2,heap,0.008649281,556,7958,13392,16,1,16
sorted,512,20260922,3,merge,0.006071329,715,2304,9216,8192,1,16
sorted,512,20260922,3,heap,0.008724820,556,7958,13392,16,1,16
sorted,512,20260922,3,insertion,0.000328613,4096,511,0,16,1,16
sorted,512,20260922,4,heap,0.008776978,556,7958,13392,16,1,16
sorted,512,20260922,4,insertion,0.000330811,4096,511,0,16,1,16
sorted,512,20260922,4,merge,0.006085315,715,2304,9216,8192,1,16
sorted,512,20260923,0,heap,0.008602198,455,7958,13392,16,1,16
sorted,512,20260923,0,insertion,0.000309326,4096,511,0,16,1,16
sorted,512,20260923,0,merge,0.006083933,834,2304,9216,8192,1,16
sorted,512,20260923,1,insertion,0.000312988,4096,511,0,16,1,16
sorted,512,20260923,1,merge,0.005912470,834,2304,9216,8192,1,16
sorted,512,20260923,1,heap,0.009052747,455,7958,13392,16,1,16
sorted,512,20260923,2,merge,0.006058753,834,2304,9216,8192,1,16
sorted,512,20260923,2,heap,0.008819780,455,7958,13392,16,1,16
sorted,512,20260923,2,insertion,0.000320068,4096,511,0,16,1,16
sorted,512,20260923,3,heap,0.009323077,455,7958,13392,16,1,16
sorted,512,20260923,3,insertion,0.000317139,4096,511,0,16,1,16
sorted,512,20260923,3,merge,0.006080336,834,2304,9216,8192,1,16
sorted,512,20260923,4,insertion,0.000319092,4096,511,0,16,1,16
sorted,512,20260923,4,merge,0.005898082,834,2304,9216,8192,1,16
